RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
654743,201628184,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/24/2016,01/24/2016 09:20:00 AM,01/24/2016 11:45:00 AM,9XX BLOCK OF 18 AV E,C,C2,6400.3014,-122.308631897,47.627765656,"(47.627765656, -122.308631897)"
655007,201626995,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/23/2016,01/20/2016 08:00:00 PM,,E THOMAS ST / 22 AV E,C,C2,7600.2010,-122.303604126,47.621379852,"(47.621379852, -122.303604126)"
655731,201621508,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,01/19/2016,01/16/2016 06:00:00 PM,01/19/2016 07:44:00 AM,18XX BLOCK OF 42 AV E,C,C2,6300.1019,-122.278457642,47.636363983,"(47.636363983, -122.278457642)"
656162,201618731,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/16/2016,01/16/2016 02:03:00 PM,,11XX BLOCK OF 23 AV E,C,C2,6400.3009,-122.302345276,47.62928009,"(47.62928009, -122.302345276)"
656310,201615808,1316,3,THREATS-KILL,1300,THREATS,01/14/2016,01/14/2016 10:46:00 AM,,E MADISON ST / 17 AV,C,C2,7900.4005,-122.310157776,47.615589142,"(47.615589142, -122.310157776)"
656343,201615772,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,01/14/2016,01/04/2016 04:00:00 PM,01/04/2016 05:00:00 PM,2XX BLOCK OF 23 AV E,C,C2,7700.4004,-122.302490234,47.620792389,"(47.620792389, -122.302490234)"
656759,201612259,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/11/2016,01/09/2016 11:59:00 PM,01/11/2016 12:00:00 PM,22XX BLOCK OF EVERETT AV E,C,C2,6200.3001,-122.315208435,47.638847351,"(47.638847351, -122.315208435)"
656801,201612621,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/11/2016,01/11/2016 06:57:00 PM,,29XX BLOCK OF E MADISON ST,C,C2,6200.1053,-122.293777466,47.625110626,"(47.625110626, -122.293777466)"
657034,201610982,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/10/2016,01/10/2016 12:01:00 AM,01/10/2016 08:00:00 AM,16XX BLOCK OF E BOSTON TR,C,C2,6200.3001,-122.312408447,47.637878418,"(47.637878418, -122.312408447)"
657088,201611007,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,01/10/2016,01/05/2016 08:00:00 AM,01/05/2016 09:00:00 AM,18XX BLOCK OF E JOHN ST,C,C2,7600.2005,-122.308059692,47.619667053,"(47.619667053, -122.308059692)"
657683,20165404,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/05/2016,01/05/2016 11:11:00 PM,,20XX BLOCK OF E PROSPECT ST,C,C2,6400.3007,-122.305389404,47.628658295,"(47.628658295, -122.305389404)"
657967,20163560,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,01/04/2016,12/23/2015 09:38:00 PM,,32XX BLOCK OF E MORLEY WY,C,C2,6300.4005,-122.289932251,47.629951477,"(47.629951477, -122.289932251)"
